//Q line

Coney Island - Stillwell Av: D,F,N,Q
West 8 St - NY Aquarium: F,Q
Ocean Pkwy: Q
Brighton Beach: B,Q
Sheepshead Bay: B,Q
Neck Rd: Q
Avenue U: Q
Kings Hwy: B,Q
Avenue M: Q
Avenue J: Q
Avenue H: Q
Newkirk Plaza: B,Q
Cortelyou Rd: Q
Beverly Rd: Q
Church Av: B,Q
Prospect Park: B,Q,S
7 Av: B,Q
Atlantic Ave - Barclays Center: B,D,N,Q,R,2,3,4,5
DeKalb Av: B,Q,R
Canal St: J,N,Q,R,W,Z,6
14 St - Union Sq: L,N,Q,R,W,4,5,6
34 St - Herald Sq: B,D,F,M,N,Q,R,W
Times Sq - 42 St: N,Q,R,S,W,1,2,3,7
57 St - 7 Av: N,Q,R,W
Lexington Av - 63 St: F,Q
72 St: Q
86 St: Q
96 St: Q

//N line

86 St: N
Avenue U: N
Kings Hwy: N
Bay Pkwy: N
20 Av: N
18 Av: N
New Utrecht Av: N
Fort Hamilton Pkwy: N
8 Av: N
59 St: N,R
36 St: D,N,R
49 St: N,R,W
5 Av - 59 St: N,R,W
Lexington Av - 59 St: N,R,W,4,5,6
Queensboro Plaza: N,W,7
39 Av: N,W
36 Av: N,W
Broadway: N,W
30 Av: N,W
Astoria Blvd: N,W
Astoria - Ditmars Blvd: N,W
